Gene locus,mass fraction
b0595,2.307237e-05
b0593,2.408448e-05
b0583,0.0
b0594,1.780437e-05
b0586,4.119354e-05
b0597,0.0
b0591,0.0
b3613,3.221962e-05
b3264,0.0
b0566,0.0
b3404,0.0
b2927,7.471237e-05
b4155,1.901972e-05
b4146,3.051622e-05
b2326,0.0
b4114,0.0
b3546,0.0
b3955,0.0001770326
b2566,0.0001736247
b0156,0.0003916463
b0554,0.0
b1556,0.0
b0981,0.0
b0982,0.0
b4391,0.000827489
b2451,0.0
b2441,3.699553e-05
b2440,2.100704e-05
b2458,0.0
b2455,0.0
b2453,0.0
b2452,0.0
b2454,0.0
b2438,0.0
b2439,2.404704e-05
b2457,4.062207e-05
b2456,0.0
b2461,0.0
b2460,0.0
b2437,0.0
b2462,0.0
b2459,0.0
b2369,0.0
b2370,0.0
b3006,0.0001450823
b3005,3.552923e-05
b1844,0.0
b3094,7.574389e-05
b3093,0.0
b0954,0.0003215953
b2323,0.001034329
b1092,0.0006302682
b1095,0.0004895302
b1093,0.0005893065
b1091,0.000305553
b1288,0.001457773
b3963,4.700931e-05
b0180,0.0003637706
b3845,0.0003924217
b3846,0.0006347157
b1805,0.000303859
b0221,0.0002927064
b3081,0.0002855822
b2342,7.080109e-05
b2341,0.0002132172
b1701,0.0
b2344,0.001071707
b0443,2.010626e-05
b1187,0.0001107691
b2912,0.0
b2925,0.002484002
b2097,0.0002864731
b4232,0.0002484107
b2052,0.0
b3895,0.0
b3891,0.0001256679
b4079,0.0
b1474,0.0
b1475,0.0
b1476,0.0
b3894,0.0
b3893,0.0
b3892,0.0
b0518,0.0
b2525,0.0001325655
b1385,0.0
b1384,0.0
b4291,0.0
b4290,0.0
b4289,0.0
b4288,0.0
b4287,0.0
b4293,0.0
b4292,0.0
b3408,0.0
b3409,6.574431e-05
b3410,0.0
b0584,3.169153e-05
b0592,3.347303e-05
b0588,1.019892e-05
b0590,0.0
b0587,0.0
b0589,0.0
b0585,6.706593e-06
b0490,1.565552e-05
b0491,0.0
b2610,0.0002570511
b2731,0.0
b0150,0.0003746429
b0153,0.0
b0151,2.202078e-05
b0152,0.0
b1102,0.0001392856
b4367,0.0
b3361,8.442888e-06
b3915,0.0
b4314,0.0
b4312,0.0
b4316,0.0
b4317,0.0
b4313,0.0
b4318,0.0
b4319,0.0
b4320,0.0
b4315,0.0
b0535,0.0
b3261,0.0004555172
b0805,2.532258e-05
b0041,0.0
b0042,0.0
b0043,0.0
b0044,0.0
b4207,0.0004263917
b3347,0.001361222
b0028,6.370646e-05
b0684,0.0004612994
b2895,3.742335e-05
b1072,3.008572e-05
b1073,8.187629e-05
b1074,6.009887e-05
b1075,6.711792e-05
b1076,0.0005396497
b1077,8.044859e-05
b1078,0.0001616517
b1079,0.0003490491
b1080,0.0001748869
b1081,0.0
b1082,0.0003124815
b1083,0.0004415457
b1071,0.0002113125
b1070,6.911741e-05
b1879,0.0003274825
b1880,0.0
b1891,0.0
b1892,5.59346e-05
b1878,3.945847e-05
b1922,0.0005700432
b1923,0.01774665
b1924,0.000485111
b1937,1.20527e-05
b1938,0.0006164409
b1939,0.0005591005
b1940,5.75942e-05
b1941,0.0003303601
b1942,0.0
b1943,5.317996e-05
b1944,0.0003726627
b1945,0.0005777945
b1946,0.0002936362
b1947,8.401308e-05
b1948,8.420242e-05
b1949,0.0
b1950,0.0
b1925,5.292946e-05
b1926,0.0
b1921,0.0001551992
b2321,2.260175e-05
b2000,3.92792e-05
b1566,5.188983e-06
b3288,0.0001060872
b1334,0.0006012618
b0904,0.0
b2492,0.0
b0048,8.49682e-05
b3058,2.412902e-05
b2315,8.187979e-05
b0529,0.0001849629
b2153,0.001434599
b0142,2.132355e-05
b1606,2.530529e-05
b3177,5.028735e-05
b2303,0.0001174566
b3924,0.0001247033
b2374,0.0
b4154,0.0001309486
b4153,4.48271e-05
b4152,0.0
b4151,0.0
b3844,0.0001329466
b3370,0.0
b3371,0.0
b4474,0.0
b3374,0.0
b3375,3.23324e-05
b0356,0.000388953
b0355,3.563932e-05
b0357,3.214424e-05
b0172,0.0006160102
b0239,8.044993e-05
b2167,8.612824e-05
b2169,6.470354e-05
b2168,5.415386e-05
b3900,0.0
b3899,0.0
b3897,0.0
b3898,0.0
b3950,0.0
b3949,0.0
b3953,0.0
b2383,0.0
b2387,0.0
b2386,0.0
b0825,0.0
b3946,0.0
b0479,0.0
b1905,0.0003239401
b1902,3.976144e-05
b2214,0.0
b0094,0.000219576
b2748,1.055244e-05
b3463,6.095489e-05
b3178,0.0005616574
b0084,6.77065e-05
b0890,0.000225856
b0083,2.276136e-05
b3933,4.756694e-05
b3017,8.80269e-05
b0093,4.707336e-05
b0089,0.0
b3462,7.804514e-05
b3464,0.0001845299
b0095,0.001017107
b2800,1.321334e-05
b2802,0.000255435
b2803,0.0
b2799,0.0001294884
b2801,0.0
b2805,6.469318e-05
b2804,0.0001138446
b1612,0.002730011
b4122,3.207307e-05
b1611,0.0004172786
b0683,0.0004114428
b3340,0.008258222
b4140,2.800783e-05
b2661,0.0002047318
b2663,0.0
b2662,0.0001992704
b3517,0.0
b1493,0.0001708133
b1492,0.0
b3512,0.0
b3515,0.0
b3516,0.0
b0759,0.0002092505
b2042,0.0
b0757,0.0001592742
b0756,0.0003093758
b2943,0.0
b2837,0.0
b2151,3.685478e-05
b0758,7.11011e-05
b1236,0.0005255607
b1779,0.009725985
b1417,2.101129e-05
b1416,0.0
b3128,3.270221e-05
b3124,0.0
b3126,0.0
b3127,0.0
b3125,3.157443e-05
b2094,0.0
b2093,0.0
b2092,0.0
b2091,0.0
b2087,8.206774e-06
b2090,0.0
b2096,0.0009158936
b2095,0.0
b0124,0.0
b0507,0.0
b2808,3.101621e-05
b2904,0.0003085491
b2903,0.0006039663
b2479,6.038804e-05
b2905,0.0002620645
b1761,0.003389503
b0987,0.0
b0986,0.0
b0985,0.0
b0984,0.0
b0983,0.0
b3447,0.0
b4128,0.0
b4559,0.0
b1033,0.0002157188
b3553,0.0004777911
b4064,0.0002151814
b4464,4.114298e-06
b2975,0.0
b2976,0.000656293
b2980,6.311497e-05
b2979,3.311767e-07
b4468,0.0
b4467,3.112724e-05
b2977,0.0001063874
b3945,3.361281e-05
b2036,0.0
b3429,0.0002290476
b3432,0.0002549191
b3430,0.0002712469
b3428,0.000297889
b3049,0.0
b3431,9.489107e-05
b2388,0.0001942298
b3176,0.0003513408
b3729,0.0008391206
b3730,0.0002360386
b3870,0.002574765
b2553,0.000198932
b0167,0.0001122039
b3053,0.0001668018
b3868,7.746071e-05
b0811,0.001974734
b0450,0.0
b3869,1.348978e-05
b0810,0.0001501816
b0809,0.0003582269
b0680,0.0006748147
b1651,0.0002738813
b0212,0.0001081167
b0927,0.0001568122
b2241,0.0
b2242,0.0
b2243,0.0
b3426,6.664744e-05
b3425,0.0
b3927,0.0
b3424,0.0
b3926,0.000330544
b2239,5.005411e-05
b3423,2.168627e-05
b2240,9.470594e-05
b3925,4.390401e-05
b2556,0.0
b2554,2.900736e-05
b0720,0.009793368
b3212,0.002336545
b3213,0.0006687449
b3214,0.0
b0655,0.005778652
b0654,0.0001289807
b0653,0.0001544587
b0652,0.0006259208
b4077,0.0
b3653,0.0
b2400,0.0006792243
b0144,1.202104e-05
b3682,0.0
b3683,0.0
b3681,0.0
b0514,0.0
b0509,0.0
b2551,0.004293659
b3560,0.0003736929
b3559,0.001079064
b2053,0.0
b0200,7.646867e-05
b3648,6.169575e-05
b2051,0.0
b2029,0.00134844
b4517,3.274462e-05
b1550,0.0002208036
b3437,0.0
b4321,0.0
b3438,4.968311e-05
b3415,5.688123e-05
b4476,0.0
b3413,0.0
b3500,0.0002625158
b3385,7.894271e-05
b0755,0.001560538
b3612,0.0005278293
b3779,4.771157e-05
b3608,0.000126618
b0238,0.0002586278
b2579,0.0001574686
b3181,0.000275467
b3406,2.103572e-05
b4143,0.00541654
b4142,0.001130608
b2614,0.0008179304
b0849,2.313067e-05
b1064,0.0002862142
b3610,0.0001864901
b1654,0.0005686226
b2688,0.0001895933
b2947,0.0003520527
b0829,0.0001003699
b0830,0.0002142366
b0831,0.0
b0832,2.057265e-05
b0477,9.876018e-05
b3323,0.0
b3322,0.0
b3324,0.0
b3325,0.0
b3326,0.0
b3327,0.0
b3328,0.0
b3329,0.0
b3330,0.0
b3331,0.0
b3332,0.0
b3333,0.0
b3334,0.0
b3335,0.0
b2988,8.418883e-05
b1635,0.0002185298
b0838,0.0004100569
b2507,0.0006564812
b2508,0.0007036409
b0104,0.0003604423
b2883,0.0
b2787,4.010797e-05
b2789,0.0
b2788,0.0
b2706,0.0
b2708,6.647554e-05
b2231,0.0008335876
b3699,0.0007423034
b2541,0.0
b2540,0.0
b2542,0.0
b2538,0.0
b2539,0.0
b2537,0.0
b2536,0.0
b1967,0.0001209706
b0873,0.0
b0872,0.0
b2496,0.0
b3510,0.0
b3509,0.0
b3511,0.0
b4480,3.783066e-05
b1619,9.362811e-05
b0962,5.814299e-05
b1210,0.0
b0369,0.0002402756
b3805,9.353153e-05
b3804,2.560275e-05
b3997,0.0001633768
b2436,0.0
b3850,4.21072e-05
b0475,3.817972e-05
b0154,0.0005015904
b3867,0.0001110138
b3803,0.000213598
b3802,0.0001307395
b4175,0.0002757572
b1132,0.0
b4174,0.0004076171
b4173,0.0001566864
b4172,0.0007363807
b0460,7.556399e-05
b4532,0.0
b1438,0.0
b3082,0.0
b3083,0.0
b1103,0.0002068426
b1507,0.0
b1508,0.0
b2024,0.0001501997
b2022,0.0005860795
b2021,0.0004071671
b2020,0.0004078416
b2025,0.0002242304
b2019,0.0005819364
b2023,0.0002089079
b2026,0.0002871837
b2309,0.001477741
b2018,0.0
b2307,4.24689e-05
b2306,0.0001243453
b2308,7.537056e-05
b2514,0.0004551903
b1182,0.0
b2552,0.000116021
b1237,0.006741807
b0107,0.0
b0106,0.0
b3395,0.0
b3394,0.0
b3393,0.0
b3392,0.0
b3391,0.0
b4455,0.0
b4428,0.0
b4412,0.0
b1562,0.0
b4415,0.0
b0640,0.0
b1099,2.368934e-05
b4259,1.709535e-05
b4372,0.0
b1842,3.803771e-05
b3203,0.0002226167
b0125,0.0001249989
b1413,0.0001360212
b0148,9.280086e-06
b2526,0.0003230949
b2527,6.547621e-05
b0650,0.0
b4349,0.0001970298
b4350,0.0003040638
b4348,6.922827e-05
b1379,0.0
b3401,0.0002332214
b3400,2.048183e-05
b3931,0.0005331229
b3932,0.0001531708
b0966,1.781903e-05
b3754,0.0
b0012,0.0
b0473,0.001269543
b1829,0.0002800283
b0139,0.0
b3618,0.0
b4000,0.003232504
b0440,0.002751021
b0972,0.0
b0973,0.0
b0974,0.0
b0975,0.0
b0976,0.0
b0977,0.0
b2996,0.0
b2995,0.0
b2994,3.798803e-05
b2993,0.0
b2992,0.0
b2991,0.0
b2990,0.0
b2997,0.0
b2725,0.0
b2724,0.0
b2723,0.0
b2722,0.0
b2721,0.0
b2720,0.0
b2719,0.0
b2718,0.0
b2717,1.043679e-05
b2713,0.0
b2481,4.872433e-05
b2482,0.0
b2483,0.0
b2484,0.0
b2485,0.0
b2486,0.0
b2487,0.0
b2488,0.0
b2489,0.0
b2490,0.0
b2491,0.0003840179
b0508,0.0
b2726,0.0
b2727,7.562108e-06
b2728,0.0
b2729,0.0
b2730,0.0
b2712,0.0
b4327,0.0
b2873,0.0
b0828,5.489022e-05
b4328,7.624157e-05
b2753,3.046954e-06
b3190,8.508858e-05
b3687,5.553307e-05
b3686,0.0
b1136,0.01781099
b4519,0.0
b4018,9.30706e-05
b2889,0.0
b4267,1.838506e-05
b4268,0.0
b4266,0.000189014
b4264,0.0
b4265,0.0
b1712,0.0003799307
b0912,0.0007969896
b0026,0.001576646
b3772,0.0005126086
b3671,0.001101157
b3774,0.005719381
b3771,0.00129042
b3770,0.001978715
b3767,0.0004319272
b3768,0.0
b0078,0.0001332323
b0077,0.0004281009
b3766,0.0
b3769,8.858942e-05
b3670,0.0001757853
b4669,0.0
b3773,9.291795e-06
b2237,0.0
b0884,0.0002398308
b3168,0.002119005
b1718,0.0006421081
b0022,0.0
b0265,0.0
b0275,0.0
b4516,0.0
b1894,0.0
b3444,0.0
b4294,0.0
,0.0
b0021,0.0
b0264,0.0
b0988,0.0
b0360,0.0
b1403,0.0
b1997,0.0
b2861,0.0
b3044,0.0
b4272,0.0
b1578,0.0
b0361,0.0
b0298,0.0
b0373,0.0
b0540,0.0
b1027,0.0
b2088,0.0
b0299,0.0
b4278,0.0
b0259,0.0
b3218,0.0
b3505,0.0
b0552,0.0
b0656,0.0
b1331,0.0
b1370,0.0
b1994,0.0
b2030,0.0
b2192,0.0
b2982,0.0
b0256,0.0
b1404,0.0
b4284,0.0
b3557,0.0
b3558,0.0
b0016,0.0
b0582,0.0
b2394,0.0
b0255,0.0
b4283,0.0
b0257,0.0
b4285,0.0
b2622,0.0
b4271,0.0
b0537,0.0
b1140,0.0
b0281,0.0
b1936,0.0
b1579,0.0
b1345,0.0
b2349,0.0
b2442,0.0
b4326,0.0
b1160,0.0
b0382,5.449749e-05
b4706,0.0
b2528,0.0001953614
b2531,0.00107717
b2530,0.003590616
b2529,0.001787314
b2524,7.175305e-05
b0421,5.553323e-05
b3187,9.034852e-05
b2747,2.70481e-05
b1208,3.973862e-05
b2746,7.727063e-05
b2515,0.0001983084
b0029,0.0001362768
b0174,6.173385e-05
b3672,0.0
b0220,0.0001039809
b1732,0.0003068706
b3942,0.002419899
b3137,0.0
b3132,1.596486e-07
b3617,4.481456e-05
b1250,3.057463e-05
b3526,0.0001084211
b1827,0.0002106582
b3909,0.0
b0698,0.0
b0697,0.0
b0696,0.0
b0695,3.314319e-05
b0694,0.0
b4513,0.0
b1215,0.0004731586
b0918,0.0001483742
b3198,6.427833e-05
b3197,0.0001018348
b2842,0.0
b2843,0.0
b3350,0.0
b0047,0.0
b0046,0.0
b3351,0.0
b2587,2.79131e-05
b1352,0.0
b4331,0.0
b3747,3.128447e-05
b0342,0.0
b0345,5.491436e-05
b0343,0.0
b0344,0.0
b0230,0.0
b4036,0.0002420577
b1279,2.840754e-05
b1280,4.221737e-05
b1192,4.045815e-05
b0186,0.0
b1380,0.0002768893
b4419,0.0
b4421,0.0
b4423,0.0
b4453,0.0
b1990,2.094813e-05
b0819,0.0002103959
b1113,5.528807e-05
b0925,0.0
b1678,0.0
b2569,0.0004533268
b2568,0.0001192409
b0074,0.001162999
b0073,0.001113653
b0072,0.001129593
b0071,0.0008494415
b1798,0.0
b0075,0.0
b0076,0.0
b0642,0.001233769
b4043,0.0001255374
b0229,0.0
b4358,0.0
b4357,0.0
b4356,0.0
b2828,0.0
b2660,3.444979e-05
b1653,0.0
b2411,0.0001312149
b3647,0.0
b0628,0.0003292138
b0630,3.315123e-05
b1139,0.0
b3454,0.0002718773
b3455,0.0002004006
b3457,0.0001713493
b3460,0.005653023
b3458,0.0008906788
b3456,0.0003088278
b3605,0.000135769
b3603,0.0
b3604,0.0
b0657,5.372501e-05
b2936,0.0001030692
b0891,9.272032e-05
b1209,0.0001081305
b1116,4.813887e-05
