Gene locus,mass fraction
b4362,1.364957e-05
b0470,0.0001045997
b1490,0.0
b1489,0.0
b0620,0.0
b0619,0.0
b3544,0.008853275
b3543,0.0001489416
b3542,0.0001496711
b3541,0.0001941063
b3540,0.0001998894
b0812,0.000128144
b3860,0.0002807064
b1185,0.0001181543
b2893,0.0001312188
b4136,4.047236e-05
b0604,4.462731e-05
b2366,4.278573e-05
b2364,0.0
b2365,0.0
b1952,0.0
b3887,9.467667e-05
b1634,7.211126e-05
b3496,0.0
b4130,0.0
b0709,0.0
b4049,6.01529e-05
b3260,2.551923e-05
b2140,0.0
b3640,0.0001510183
b0173,4.08052e-05
b0420,0.0001823495
b0297,0.0
b1533,0.0
b2578,0.0
b3076,0.0
b3077,0.0
b3075,1.879468e-05
b4410,0.0
b4411,0.0001041183
b2209,1.702572e-05
b0293,0.0
b0292,0.0
b0291,0.0
b0290,0.0
b0289,0.0
b0294,0.0
b1850,0.0003208755
b1851,3.666468e-05
b1019,0.0
b1018,7.225305e-05
b1016,0.0
b4147,0.0009459913
b2267,2.385473e-05
b2266,0.000340912
b2269,4.641977e-06
b3209,0.0002125286
b0938,0.0
b0940,0.0
b0939,0.0
b0941,0.0
b0920,5.731199e-06
b2685,5.37115e-05
b2686,0.0
b3673,0.0
b0543,0.0
b2368,0.0
b2367,0.0
b1193,5.856126e-05
b2945,0.0
b2779,0.003481906
b0596,1.079043e-05
b0595,2.413367e-05
b0593,2.149246e-05
b0583,0.0
b0594,1.936903e-05
b0586,4.617888e-05
b0597,0.0
b0591,0.0
b3613,3.048329e-05
b3264,0.0
b0566,0.0
b3404,8.87207e-05
b2927,7.31858e-05
b4155,0.0
b4146,2.20487e-05
b2326,0.0
b4114,4.306285e-05
b3546,0.0
b3955,0.0001749403
b2566,0.0001423371
b0156,0.0003663452
b0554,0.0
b1556,0.0
b0981,0.0
b0982,0.0
b4391,0.0007359097
b2451,0.0
b2441,4.065001e-05
b2440,2.399199e-05
b2458,0.0
b2455,0.0
b2453,0.0
b2452,0.0
b2454,0.0
b2438,0.0
b2439,2.522922e-05
b2457,5.679387e-05
b2456,0.0
b2461,0.0
b2460,0.0
b2437,0.0
b2462,0.0
b2459,0.0
b2369,0.0
b2370,0.0
b3006,0.0001374082
b3005,3.042375e-05
b1844,0.0
b3094,9.293395e-05
b3093,0.0
b0954,0.0003059758
b2323,0.001035937
b1092,0.0006093952
b1095,0.0004599604
b1093,0.0005740866
b1091,0.0003143617
b1288,0.001369467
b3963,5.086749e-05
b0180,0.0003221069
b3845,0.0005190843
b3846,0.0008758592
b1805,0.0003454483
b0221,0.0003817925
b3081,0.0003722709
b2342,8.88304e-05
b2341,0.0002755594
b1701,0.0
b2344,0.001615874
b0443,2.853425e-05
b1187,0.0001087922
b2912,0.0
b2925,0.002499231
b2097,0.0004223247
b4232,0.0002577395
b2052,0.0
b3895,1.518271e-06
b3891,0.0001262922
b4079,0.0
b1474,0.0
b1475,0.0
b1476,0.0
b3894,0.0
b3893,0.0
b3892,0.0
b0518,0.0
b2525,0.0001253994
b1385,0.0
b1384,0.0
b4291,0.0
b4290,0.0
b4289,0.0
b4288,0.0
b4287,0.0
b4293,0.0
b4292,0.0
b3408,0.0
b3409,6.37822e-05
b3410,0.0
b0584,3.900242e-05
b0592,3.537034e-05
b0588,1.176444e-05
b0590,0.0
b0587,0.0
b0589,0.0
b0585,0.0
b0490,2.057659e-05
b0491,6.572729e-06
b2610,0.0002361225
b2731,0.0
b0150,0.0004232156
b0153,0.0
b0151,2.06715e-05
b0152,0.0
b1102,0.0001247452
b4367,0.0
b3361,1.31737e-05
b3915,0.0
b4314,0.0
b4312,0.0
b4316,0.0
b4317,0.0
b4313,0.0
b4318,0.0
b4319,0.0
b4320,0.0
b4315,0.0
b0535,0.0
b3261,0.0003515684
b0805,2.694451e-05
b0041,0.0
b0042,0.0
b0043,0.0
b0044,0.0
b4207,0.0004050288
b3347,0.00135368
b0028,6.337195e-05
b0684,0.0004519237
b2895,4.270693e-05
b1072,3.375851e-05
b1073,6.17204e-05
b1074,7.013177e-05
b1075,7.118983e-05
b1076,0.0005328245
b1077,9.284538e-05
b1078,0.0001491342
b1079,0.0003433218
b1080,0.0001702008
b1081,0.0
b1082,0.0003480894
b1083,0.0004960859
b1071,0.0001891151
b1070,7.589683e-05
b1879,0.0003044377
b1880,0.0
b1891,0.0
b1892,4.206923e-05
b1878,3.328345e-05
b1922,0.0005430024
b1923,0.02131033
b1924,0.0004424118
b1937,1.219194e-05
b1938,0.0006283854
b1939,0.0005642127
b1940,6.43312e-05
b1941,0.0003585176
b1942,0.0
b1943,5.002849e-05
b1944,0.0003846301
b1945,0.0005198835
b1946,0.0003374969
b1947,8.057467e-05
b1948,7.452652e-05
b1949,0.0
b1950,0.0
b1925,4.474036e-05
b1926,0.0
b1921,0.000163646
b2321,2.223584e-05
b2000,0.0001183344
b1566,4.298393e-06
b3288,0.0001040122
b1334,0.0005653349
b0904,5.315925e-05
b2492,0.0
b0048,9.789715e-05
b3058,2.830386e-05
b2315,8.342706e-05
b0529,0.0001954473
b2153,0.001136915
b0142,2.336081e-05
b1606,2.510513e-05
b3177,4.523258e-05
b2303,0.0001104931
b3924,0.0001405143
b2374,0.0
b4154,0.0001792875
b4153,5.650951e-05
b4152,0.0
b4151,0.0
b3844,0.0001673016
b3370,0.0
b3371,0.0
b4474,0.0
b3374,0.0
b3375,3.66102e-05
b0356,0.0002716861
b0355,2.999698e-05
b0357,3.355462e-05
b0172,0.0006188478
b0239,9.550691e-05
b2167,9.612709e-05
b2169,6.171226e-05
b2168,4.951434e-05
b3900,0.0
b3899,0.0
b3897,0.0
b3898,0.0
b3950,0.0
b3949,0.0
b3953,0.0
b2383,0.0
b2387,0.0
b2386,0.0
b0825,0.0
b3946,0.0
b0479,0.0
b1905,0.0001599437
b1902,4.596511e-05
b2214,0.0
b0094,0.0002391754
b2748,1.340498e-05
b3463,6.267628e-05
b3178,0.0005434931
b0084,6.279659e-05
b0890,0.0002119849
b0083,2.30546e-05
b3933,5.523978e-05
b3017,8.707577e-05
b0093,4.794838e-05
b0089,0.0
b3462,7.637974e-05
b3464,0.000182948
b0095,0.001044494
b2800,1.733505e-05
b2802,0.000263359
b2803,0.0
b2799,0.0001804403
b2801,0.0
b2805,7.532134e-05
b2804,0.0001415723
b1612,0.002876612
b4122,3.225118e-05
b1611,0.0005502954
b0683,0.0004612187
b3340,0.007378196
b4140,2.817765e-05
b2661,0.0002193329
b2663,0.0
b2662,0.000221966
b3517,0.0
b1493,0.0001582248
b1492,0.0
b3512,0.0
b3515,0.0
b3516,0.0
b0759,0.0002512496
b2042,0.0
b0757,0.0001492676
b0756,0.0003071427
b2943,0.0
b2837,0.0
b2151,4.448214e-05
b0758,7.592978e-05
b1236,0.0005195823
b1779,0.009624062
b1417,1.792625e-05
b1416,0.0
b3128,4.074537e-05
b3124,0.0
b3126,0.0
b3127,0.0
b3125,4.261903e-05
b2094,0.0
b2093,0.0
b2092,0.0
b2091,0.0
b2087,8.63371e-06
b2090,0.0
b2096,0.000874577
b2095,0.0
b0124,3.23234e-05
b0507,0.0
b2808,3.192196e-05
b2904,0.0002720732
b2903,0.0005463008
b2479,7.415247e-05
b2905,0.0002217029
b1761,0.002439489
b0987,0.0
b0986,0.0
b0985,0.0
b0984,0.0
b0983,0.0
b3447,0.0
b4128,0.0
b4559,0.0
b1033,0.0002158429
b3553,0.0004722121
b4064,0.0001900362
b4464,0.0
b2975,0.0
b2976,0.0008082606
b2980,8.082505e-05
b2979,6.152877e-07
b4468,0.0
b4467,3.221329e-05
b2977,0.0001057788
b3945,4.888547e-05
b2036,0.0
b3429,0.0002910066
b3432,0.0002957603
b3430,0.0003291048
b3428,0.0003752725
b3049,0.0
b3431,0.0001152528
b2388,0.000196871
b3176,0.0003540549
b3729,0.0007573787
b3730,0.0001913129
b3870,0.001971236
b2553,0.0001538328
b0167,0.0001346316
b3053,0.0001655155
b3868,7.56599e-05
b0811,0.002640449
b0450,0.0
b3869,1.556173e-05
b0810,0.0001997066
b0809,0.0004450087
b0680,0.0006881774
b1651,0.0002892195
b0212,0.0001286438
b0927,0.0001930993
b2241,0.0
b2242,0.0
b2243,0.0
b3426,8.939656e-05
b3425,0.0
b3927,0.0
b3424,0.0
b3926,0.0004339588
b2239,6.577721e-05
b3423,2.041655e-05
b2240,0.0001064226
b3925,3.885469e-05
b2556,0.0
b2554,2.665075e-05
b0720,0.00875689
b3212,0.00203092
b3213,0.0005933996
b3214,0.0
b0655,0.006596777
b0654,0.0001285974
b0653,0.0001575104
b0652,0.0008129994
b4077,0.0
b3653,0.0
b2400,0.0006611613
b0144,1.289582e-05
b3682,0.0
b3683,0.0
b3681,0.0
b0514,0.0
b0509,0.0
b2551,0.004129699
b3560,0.0003816105
b3559,0.001023596
b2053,0.0
b0200,8.0642e-05
b3648,6.373369e-05
b2051,0.0
b2029,0.001321922
b4517,3.332479e-05
b1550,0.0002283532
b3437,0.0
b4321,0.0
b3438,5.833965e-05
b3415,6.506911e-05
b4476,0.0
b3413,0.0
b3500,0.000303481
b3385,7.074762e-05
b0755,0.001664817
b3612,0.0004094426
b3779,5.703545e-05
b3608,0.0001293054
b0238,0.0003031003
b2579,0.0001788272
b3181,0.000287354
b3406,1.904101e-05
b4143,0.005265532
b4142,0.001086415
b2614,0.000777625
b0849,1.7444299999999998e-05
b1064,0.0003271271
b3610,0.0001928895
b1654,0.0005703361
b2688,0.000218976
b2947,0.0004064874
b0829,0.0001013186
b0830,0.0002316985
b0831,1.691023e-05
b0832,1.968782e-05
b0477,9.16224e-05
b3323,0.0
b3322,0.0
b3324,0.0
b3325,0.0
b3326,0.0
b3327,0.0
b3328,0.0
b3329,0.0
b3330,0.0
b3331,0.0
b3332,0.0
b3333,0.0
b3334,0.0
b3335,0.0
b2988,9.315211e-05
b1635,0.0002688322
b0838,0.0004568588
b2507,0.0006591596
b2508,0.0006318108
b0104,0.0003611036
b2883,0.0
b2787,4.187803e-05
b2789,0.0
b2788,0.0
b2706,0.0
b2708,7.10664e-05
b2231,0.0008161514
b3699,0.0006781888
b2541,0.0
b2540,0.0
b2542,0.0
b2538,0.0
b2539,0.0
b2537,0.0
b2536,0.0
b1967,0.0001554876
b0873,0.0
b0872,0.0
b2496,3.242892e-05
b3510,6.830234e-05
b3509,0.0
b3511,0.0
b4480,4.49046e-05
b1619,0.000134822
b0962,6.13522e-05
b1210,0.0
b0369,0.0002294822
b3805,9.527747e-05
b3804,3.201617e-05
b3997,0.0001539716
b2436,0.0
b3850,4.303733e-05
b0475,4.09356e-05
b0154,0.0004709377
b3867,0.0001151647
b3803,0.0002535062
b3802,0.0001461839
b4175,0.000275667
b1132,0.0
b4174,0.0003835811
b4173,0.0001511786
b4172,0.0005991552
b0460,8.348938e-05
b4532,0.0
b1438,0.0
b3082,0.0
b3083,0.0
b1103,0.0002139873
b1507,0.0
b1508,0.0
b2024,0.0001442451
b2022,0.0005467454
b2021,0.0003817059
b2020,0.0003687698
b2025,0.0002087648
b2019,0.0005076464
b2023,0.0002098953
b2026,0.0002448834
b2309,0.00121882
b2018,0.0
b2307,4.964632e-05
b2306,0.0001492699
b2308,5.539106e-05
b2514,0.0004330652
b1182,0.0
b2552,0.0001105892
b1237,0.007057059
b0107,0.0
b0106,0.0
b3395,0.0
b3394,0.0
b3393,0.0
b3392,0.0
b3391,0.0
b4455,0.0
b4428,0.0
b4412,0.0
b1562,0.0
b4415,0.0
b0640,0.0
b1099,0.0
b4259,1.990911e-05
b4372,0.0
b1842,3.670171e-05
b3203,0.0002548213
b0125,0.0001019441
b1413,0.000121929
b0148,0.0
b2526,0.0002839344
b2527,6.327406e-05
b0650,0.0
b4349,0.000184236
b4350,0.0003325615
b4348,5.527945e-05
b1379,0.0
b3401,0.0002263883
b3400,2.109385e-05
b3931,0.0004583078
b3932,0.0001367208
b0966,1.883794e-05
b3754,0.0
b0012,0.0
b0473,0.001185616
b1829,0.0003171996
b0139,0.0
b3618,0.0
b4000,0.003341866
b0440,0.003266425
b0972,0.0
b0973,2.651359e-06
b0974,0.0
b0975,0.0
b0976,0.0
b0977,0.0
b2996,0.0001782112
b2995,0.0
b2994,2.293311e-05
b2993,2.055713e-06
b2992,0.0
b2991,0.0
b2990,0.0
b2997,0.0
b2725,0.0
b2724,0.0
b2723,0.0
b2722,0.0
b2721,0.0
b2720,0.0
b2719,0.0
b2718,0.0
b2717,1.086652e-05
b2713,0.0
b2481,5.927464e-05
b2482,0.0
b2483,0.0
b2484,0.0
b2485,0.0
b2486,0.0
b2487,0.0
b2488,0.0
b2489,0.0
b2490,0.0
b2491,0.0004289471
b0508,0.0
b2726,0.0
b2727,1.531835e-05
b2728,0.0
b2729,0.0
b2730,0.0
b2712,0.0
b4327,0.0
b2873,0.0
b0828,5.636186e-05
b4328,5.983457e-05
b2753,0.0
b3190,7.754206e-05
b3687,4.242074e-05
b3686,0.0
b1136,0.01815272
b4519,0.0
b4018,9.507399e-05
b2889,0.0
b4267,2.476814e-05
b4268,0.0
b4266,0.0002350872
b4264,0.0
b4265,0.0
b1712,0.0004100131
b0912,0.0009138831
b0026,0.001508227
b3772,0.0005524807
b3671,0.001117901
b3774,0.004871901
b3771,0.001222907
b3770,0.001952012
b3767,0.0003868013
b3768,0.0
b0078,0.0001467095
b0077,0.0004688922
b3766,0.0
b3769,7.811605e-05
b3670,0.0001854189
b4669,0.0
b3773,8.979827e-06
b2237,0.0
b0884,0.0002158498
b3168,0.001898232
b1718,0.0006128589
b0022,0.0
b0265,0.0
b0275,0.0
b4516,0.0
b1894,0.0
b3444,0.0
b4294,0.0
,0.0
b0021,0.0
b0264,0.0
b0988,0.0
b0360,0.0
b1403,0.0
b1997,0.0
b2861,0.0
b3044,0.0
b4272,0.0
b1578,0.0
b0361,0.0
b0298,0.0
b0373,0.0
b0540,0.0
b1027,0.0
b2088,0.0
b0299,0.0
b4278,0.0
b0259,0.0
b3218,0.0
b3505,0.0
b0552,0.0
b0656,0.0
b1331,0.0
b1370,0.0
b1994,0.0
b2030,0.0
b2192,0.0
b2982,0.0
b0256,0.0
b1404,0.0
b4284,0.0
b3557,0.0
b3558,0.0
b0016,0.0
b0582,0.0
b2394,0.0
b0255,0.0
b4283,0.0
b0257,0.0
b4285,0.0
b2622,0.0
b4271,0.0
b0537,0.0
b1140,0.0
b0281,0.0
b1936,0.0
b1579,0.0
b1345,0.0
b2349,0.0
b2442,0.0
b4326,0.0
b1160,0.0
b0382,7.131263e-05
b4706,0.0
b2528,0.0001688314
b2531,0.001159633
b2530,0.003626201
b2529,0.001751018
b2524,9.019673e-05
b0421,6.592468e-05
b3187,9.060621e-05
b2747,2.849251e-05
b1208,5.163336e-05
b2746,8.179432e-05
b2515,0.0002000755
b0029,0.0001143027
b0174,6.335794e-05
b3672,0.0
b0220,0.0001228664
b1732,0.0005083946
b3942,0.002879062
b3137,0.0
b3132,9.695026e-08
b3617,4.824057e-05
b1250,2.828673e-05
b3526,0.0001052917
b1827,0.0002299748
b3909,0.0
b0698,0.0
b0697,0.0
b0696,0.0
b0695,0.0
b0694,6.82106e-06
b4513,0.0
b1215,0.0004913061
b0918,0.0001497734
b3198,6.372053e-05
b3197,0.0001172485
b2842,0.0
b2843,0.0
b3350,0.0
b0047,1.386904e-05
b0046,0.0
b3351,0.0
b2587,3.297473e-05
b1352,0.0
b4331,0.0
b3747,2.904281e-05
b0342,0.0
b0345,5.867366e-05
b0343,0.0
b0344,0.0
b0230,0.0
b4036,0.0002097222
b1279,3.601035e-05
b1280,4.738921e-05
b1192,3.847958e-05
b0186,0.0
b1380,0.0003060045
b4419,0.0
b4421,0.0
b4423,0.0
b4453,0.0
b1990,1.927666e-05
b0819,0.0001830956
b1113,4.438957e-05
b0925,4.664193e-05
b1678,3.175819e-05
b2569,0.0004440989
b2568,0.0001241462
b0074,0.001227409
b0073,0.001286849
b0072,0.001186095
b0071,0.0009426353
b1798,0.0
b0075,0.0
b0076,0.0
b0642,0.001105931
b4043,0.0001362347
b0229,0.0
b4358,0.0
b4357,0.0
b4356,0.0
b2828,0.0
b2660,3.691032e-05
b1653,0.0
b2411,0.0001282916
b3647,0.0
b0628,0.0003607944
b0630,2.993503e-05
b1139,0.0
b3454,0.0002896564
b3455,0.0002348581
b3457,0.0002246108
b3460,0.006478872
b3458,0.0007882845
b3456,0.0003184849
b3605,0.0001473914
b3603,0.0
