Gene locus,mass fraction
b1850,0.0005828214
b1851,4.200898e-05
b1019,1.682351e-05
b1018,0.0001191289
b1016,0.0
b4147,0.0007555027
b2267,3.619288e-05
b2266,0.0003941128
b2269,0.0
b3209,0.0001395308
b0938,0.0
b0940,0.0
b0939,0.0
b0941,0.0
b0920,9.603581e-06
b2685,6.667475e-05
b2686,0.0
b3673,0.0
b0543,0.0
b2368,0.0
b2367,0.0
b1193,9.48601e-05
b2945,0.0
b2779,0.009475384
b0596,9.624254e-06
b0595,2.131868e-05
b0593,2.114541e-05
b0583,0.0
b0594,2.114565e-05
b0586,5.086306e-05
b0597,0.0
b0591,0.0
b3613,4.471143e-05
b3264,0.0
b0566,0.0
b3404,0.0
b2927,7.323798e-05
b4155,0.0
b4146,3.404695e-05
b2326,0.0
b4114,0.0
b3546,0.0
b3955,0.000216546
b2566,0.0001346311
b0156,0.0004053061
b0554,0.0
b1556,0.0
b0981,0.0
b0982,0.0
b4391,0.0006412043
b2451,0.0
b2441,4.045009e-05
b2440,1.369292e-05
b2458,0.0
b2455,0.0
b2453,0.0
b2452,0.0
b2454,0.0
b2438,0.0
b2439,2.02083e-05
b2457,0.0
b2456,0.0
b2461,0.0
b2460,0.0
b2437,0.0
b2462,0.0
b2459,0.0
b2369,0.0
b2370,0.0
b3006,0.0001954447
b3005,4.179444e-05
b1844,0.0
b3094,6.398654e-05
b3093,0.0
b0954,0.0004452061
b2323,0.001456112
b1092,0.0005942294
b1095,0.000593146
b1093,0.0007527042
b1091,0.000386155
b1288,0.001482488
b3963,5.09201e-05
b0180,0.0003590522
b3845,6.618367e-05
b3846,0.0001075217
b1805,8.05993e-05
b0221,0.0001331224
b3081,3.360402e-05
b2342,2.754367e-05
b2341,6.56903e-05
b1701,0.0
b2344,0.0001122873
b0443,0.0
b1187,7.395382e-05
b2912,0.0
b2925,0.003944993
b2097,0.0005437902
b4232,0.000215878
b2052,0.0
b3895,2.426951e-05
b3891,9.646268e-05
b4079,0.0
b1474,0.0
b1475,0.0
b1476,0.0
b3894,0.0
b3893,0.0
b3892,0.0
b0518,0.0
b2525,0.0001472736
b1385,0.0
b1384,0.0
b4291,0.0
b4290,0.0
b4289,0.0
b4288,0.0
b4287,0.0
b4293,0.0
b4292,0.0
b3408,0.0
b3409,5.506244e-05
b3410,0.0
b0584,3.635003e-05
b0592,3.504313e-05
b0588,1.113772e-05
b0590,0.0
b0587,0.0
b0589,0.0
b0585,4.537688e-05
b0490,2.101621e-05
b0491,7.886075e-06
b2610,0.0002785179
b2731,0.0
b0150,0.000436761
b0153,0.0
b0151,1.969722e-05
b0152,0.0
b1102,0.0
b4367,0.0
b3361,1.60262e-05
b3915,0.0
b4314,0.0
b4312,0.0
b4316,0.0
b4317,0.0
b4313,0.0
b4318,0.0
b4319,0.0
b4320,0.0
b4315,0.0
b0535,0.0
b3261,0.0003152408
b0805,1.982988e-05
b0041,0.0
b0042,0.0
b0043,0.0
b0044,0.0
b4207,0.0004419344
b3347,0.001047583
b0028,5.701679e-05
b0684,0.000391283
b2895,3.829792e-05
b1072,0.0
b1073,0.0
b1074,0.0
b1075,0.0
b1076,0.0
b1077,0.0
b1078,0.0
b1079,2.033854e-05
b1080,0.0
b1081,0.0
b1082,0.0
b1083,4.198458e-05
b1071,2.021922e-05
b1070,0.0
b1879,0.0
b1880,0.0
b1891,0.0
b1892,0.0
b1878,0.0
b1922,0.0001038614
b1923,0.001082732
b1924,0.0
b1937,0.0
b1938,6.417874e-05
b1939,3.006472e-05
b1940,0.0
b1941,0.0
b1942,0.0
b1943,0.0
b1944,1.545859e-05
b1945,2.648145e-05
b1946,4.058853e-05
b1947,0.0
b1948,0.0
b1949,0.0
b1950,0.0
b1925,0.0
b1926,0.0
b1921,0.0
b2321,2.657047e-05
b2000,0.0009651428
b1566,0.0
b3288,9.466058e-05
b1334,0.0004711989
b0904,2.537231e-05
b2492,0.0
b0048,4.878001e-05
b3058,3.830876e-05
b2315,0.0001122866
b0529,0.0002420209
b2153,0.002442308
b0142,2.418185e-05
b1606,1.932505e-05
b3177,3.868876e-05
b2303,0.0002305421
b3924,0.0001470841
b2374,0.0
b4154,7.428524e-05
b4153,1.643017e-05
b4152,0.0
b4151,0.0
b3844,0.0001783784
b3370,0.0
b3371,0.0
b4474,0.0
b3374,0.0
b3375,3.915897e-05
b0356,0.0002988738
b0355,3.79656e-05
b0357,3.258692e-05
b0172,0.0007753688
b0239,0.0001305009
b2167,9.605523e-05
b2169,6.928854e-05
b2168,5.894655e-05
b3900,0.0
b3899,0.0
b3897,0.0
b3898,0.0
b3950,0.0
b3949,0.0
b3953,0.0
b2383,0.0
b2387,0.0
b2386,0.0
b0825,1.555262e-05
b3946,0.0
b0479,0.0
b1905,0.000163409
b1902,4.013809e-05
b2214,0.0
b0094,0.0002577512
b2748,1.829351e-05
b3463,6.730789e-05
b3178,0.0006773072
b0084,8.12173e-05
b0890,0.0002812023
b0083,2.488609e-05
b3933,8.52938e-05
b3017,9.025105e-05
b0093,0.0
b0089,0.0
b3462,9.308128e-05
b3464,0.0001909256
